body,title,url
"El melón es una de las frutas más nutritivas que existen debido a su alto contenido de vitaminas y minerales. Es por ello que su consumo beneficia la salud de las personas.
Su cosecha ocurre normalmente desde julio hasta septiembre, meses en los que puedes aprovechar de cada uno de los beneficios que ofrece. Estos son:
1. Protege del daño oxidativo
El melón contiene una cantidad apreciable de vitaminas y minerales dentro de las que destaca la vitamina C, la cual contribuye a la protección de las células frente al daño oxidativo, señala la Fundación Española de la Nutrición (FEN).
2. Contribuye al funcionamiento de los músculos
Dentro de sus propiedades nutrimentales esta fruta destaca por su alto contenido en potasio, un mineral que contribuye al funcionamiento normal del sistema nervioso y de los músculos, indica la FEN. Una ración de melón cubre en un 16% la ingesta recomendada de potasio.

3. Protege contra enfermedades crónicas
El melón posee una cantidad importante de antioxidantes, los cuales protegen ante enfermedades crónicas, como la diabetes y el cáncer, y retrasan el envejecimiento, según información del Servicio de Información Agroalimentaria y Pesquera (SIAP).

4. Facilita la evacuación de toxinas
El melón contiene 92% de agua y sólo 6% de azúcar. Es por ello que esta fruta se considera un diurético natural, que ayuda a reducir la retención de líquidos, activa la circulación y facilita la evacuación de toxinas mejorando la función renal, de acuerdo con la Fundación Española del Corazón.

5. Protege el corazón
Esta fruta contiene una sustancia con efecto anticoagulante llamada adenosina. Por lo que su consumo ayuda a prevenir la trombosis, la angina de pecho y los infartos cerebrales, señala la Fundación citada anteriormente.

6. Elimina impurezas
Los beneficios de esta fruta también pueden aprovecharse de manera tópica, pues ayuda a calmar y tonificar la piel. Incluso es utilizada en mascarillas para eliminar las impurezas y combatir las manchas y el acné, informó la Fundación Española del Corazón.


",,https://www.elbotiquin.mx/bienestar/6-beneficios-de-comer-melon
"Airbnb prohibió las llamadas “casas de fiesta” (party houses) en su plataforma, luego de que se registrara un tiroteo en una de estas propiedades en Orinda, California, durante un festejo de Halloween. 
Brian Chesky, Head Community de la empresa, anunció que se prohibirían este tipo de alquileres, a partir del 2 de noviembre de 2019. 
La noche del jueves pasado, cinco personas murieron cuando una persona inició un tiroteo en una casa afiliada a Airbnb, en la que se celebraba una fiesta de Halloween. En la propiedad se encontraban más de 100 personas, aunque su ocupación máxima era de 13 individuos. 
Chesky indicó que Airbnb redoblaría los esfuerzos para evitar que se realicen fiestas sin autorización o que los anfitriones tengan conductas abusivas “que conduzcan a eventos terribles como los que vimos en Orinda”. 
Relacionado






Tiroteo en fiesta de Halloween deja 3 muertos en California


Nueve personas heridas fueron trasladadas a hospitales de la ciudad de Long Beach 


 
La compañía ampliará su manual de reservaciones de alto riesgo, con el uso de la tecnología. Además, está organizando un equipo de respuesta rápida para atender fiestas masivas en casas de la plataforma, que no estén autorizadas. 
El Head Community de Airbnb aseveró que se buscará implementar las nuevas medidas en los siguientes 10 días. 

Starting today, we are banning “party houses” and we are redoubling our efforts to combat unauthorized parties and get rid of abusive host and guest conduct, including conduct that leads to the terrible events we saw in Orinda. Here is what we are doing:
— Brian Chesky (@bchesky) November 2, 2019

 
Con relación al tiroteo de Orinda, el anfitrión dijo que la mujer que alquiló la casa le había dicho que estaba escapando de los incendios que azotan a California. También notificó que realizaría una pequeña reunión familiar, por lo que autorizó la realización del evento. 
Airbnb dio de baja a la mujer que rentó la propiedad y a la casa en la que se registró el tiroteo, pues contaba con varias notificaciones de violaciones pasadas, por fiestas con muchos asistentes. 
Hasta el momento, el autor del ataque no ha sido identificado y la policía de Orinda, California, continúa en su búsqueda. Los asistentes fallecidos tenían entre 22 y 29 años de edad, incluyendo al DJ de la fiesta. 
De acuerdo con ABC News, la ciudad de Orinda analizará la prohibición total de las rentas de casas por periodos cortos, con plataformas como Airbnb. 
Puedes leer






Airbnb ofrece alojamiento a los evacuados por incendios en California


El servicio estará disponible hasta el 7 de noviembre de 2019, pero puede ampliarse el periodo 


 
",,https://www.viveusa.mx/destinos/airbnb-prohibe-casas-de-fiesta-tras-tiroteo-en-california
"

Hermosillo.—  Apenas tiene 23 años; purga una condena de 25 años en un penal de Sonora, pero los recuerdos serán su principal prisión tras una desafortunada decisión que tomó cuando fue enganchado por Facebook para enlistarse como sicario.
“Mis padres se separaron, mi mamá se fue con un señor, mi papá se fue, mi mujer y mis hijos se fueron, mis hermanos se fueron, todos se fueron, me dejaron solo”, cuenta.
“Cuando encontré un anuncio en Facebook, dije: ‘Es para sembrar marihuana, en dos o tres meses vuelvo, pero eso no pasó, todo fue al contrario. Ellos te dicen que después de tres meses tú vas a bajar, si quieres volver, vuelves, pero no, no me dejaban, al que se iba lo mataban; así de simple, lo mataban frente a nosotros para que viéramos lo que iba a pasar si nos íbamos.
“Yo los miraba con mucho miedo a ellos y me decían: ‘Con ganas cabr...n, con ganas, sin miedo’.
“Me dieron un arma que no servía. A pesar de que el rifle no jalaba, lo hice que jalara y nada más a la persona que me tiraba era a la que yo le tiraba, pero esa vez me tocó la de perder... Salimos vivos, ellos murieron, eran demasiados para nosotros, salían de todos lados, pero a todos los matábamos.
“Después yo me enojé conmigo mismo porque ese rifle no jalaba, yo estaba ahí, sólo sé que salí de ahí, les serví como carnada”, reflexiona.
“Dije: ‘Han de venir estos batos a rescatarme, a lo mejor sí vienen, no pierdo las esperanzas de que esos batos, los que se decían compañeros, los que se decían hermanos (…) volvieran, pero no volvían, no volvieron, nunca me apoyaron, todo lo contrario, me dejaron abajo, por eso estoy aquí [en la cárcel]”.
Lamenta su vida. Soportó ser tratado como esclavo, ser torturador y torturado; además, lo perdió todo: esposa, hijos, familia y amigos... todo se le fue en un segundo.
“Lo que hay en Facebook son puros sicarios de fantasía, puros sicarios de papel. De ahí sales dañado sicológicamente porque miras las torturas que te hacen y le haces a los demás, porque si no las haces te las hacen a ti”, narra.
Cuando salga de prisión, sus hijos ya estarán grandes. Actualmente, uno de ellos va al kínder y una de las cosas que más lo hacen sufrir es no poder llevarlo a la escuela.
 Antonio de Jesús Barragán Bórquez, doctorante en Desarrollo Regional del Centro de Investigación en Alimentación y Desarrollo (CIAD), obtuvo el primer lugar en el sexto Concurso Nacional de Investigaciones Criminológicas 2018 con su trabajo Adolescentes sicarios en internamiento.

Previo a la premiación del certamen convocado por el Gobierno Federal, a través de la Coordinación General de Prevención y Readaptación Social, el joven manifestó sentirse complacido de que el esfuerzo académico que inició en el Colegio de Sonora, donde estudió la maestría en Ciencias Sociales —y que ahora continúa en el CIAD bajo la dirección del profesor Guillermo Núñez Noriega—, rinda frutos.

En su ensayo, Barragán Bórquez señala que el sicariato es un fenómeno que demanda ser estudiado desde una perspectiva integral, pues, a través de las entrevistas que realizó a jóvenes de 14 a 20 años internos en el Instituto de Tratamiento y Aplicación de Medidas para Adolescentes (Itama) en Hermosillo, Sonora, constató que los factores sociales y culturales influyen fuertemente en la adhesión de personas a grupos delictivos.

Puntualizó que los entrevistados le confesaron que no ingresaron al crimen organizado motivados por satisfacer carencias económicas, sino por el interés de pertenecer a esos grupos que se caracterizan por la violencia, lujos materiales y una serie de elementos culturales relacionados con el narcotráfico.

Agregó que, para fortalecer la prevención, el tratamiento y evitar la reinserción de los menores de edad a círculos delictivos, es imprescindible conocer el entorno social y familiar de los delincuentes, así como entender los procesos de “narcoculturización”, con el objetivo de diseñar estrategias que permitan anticipar un perfil primodelincuente, así como incrementar la tasa de éxito en la reinserción social.

Barragán Bórquez indicó que durante su formación doctoral tiene previsto estudiar la percepción ciudadana sobre la seguridad y la cultura en Sonora.

Jóvenes sicarios son parte de la estadística fatal

Miles de jóvenes y niños mexicanos son utilizados por el crimen organizado para cometer delitos. A los siete meses en promedio, terminan torturados, muertos o en la cárcel.

Hasta el mes de septiembre, en Sonora, 90 jóvenes entre 15 y 24 años de edad han perdido la vida víctimas de arma de fuego, según estadísticas de la Fiscalía General de Justicia del Estado (FGJE).

En tanto, seis personas fueron vinculadas a proceso por homicidio mediante el uso de arma de fuego. En la mayoría de los casos relacionada al narcomenudeo.

En función de esta realidad se busca hacer conciencia en la juventud sobre este tipo de actividades, puesto que no deben ser vistas como una opción de vida, porque conduce a perder la libertad o la vida misma, expresó la fiscal sonorense, Claudia Indira Contreras.

 

 
","Adolescentes sicarios, de 14 a 20 años, revelan sus motivos",http://www.eluniversal.com.mx/estados/adolescentes-sicarios-de-14-20-anos-revelan-sus-motivos
"
La noche del lunes, nos dicen, el jefe de la Oficina de la Presidencia de la República, Alfonso Romo, tuvo un encuentro de dos horas con estudiantes de la Universidad Panamericana para compartir las estrategias económicas de la Cuarta Transformación.
 
Nos comentan que fue una charla bastante relajada y en la que el ingeniero Romo habló sin tapujos de las cosas que le gustan y no le gustan, luego de haber dado el salto del sector empresarial al gobierno federal.
 
Ya entrados en confianza don Poncho reveló que además del sector empresarial tiene muy buenos amigos dentro de la arena política, amén de sus relaciones con Morena, partido en el poder.
 
¿Con quiénes? Se preguntará usted.
 
Tiene buenas relaciones dentro del PRI, como con los expresidentes Carlos Salinas de Gortari y Ernesto Zedillo, impulsores del modelo neoliberal. Eso les dijo a los estudiantes.
 
En pocas palabras, no hay bronca con ellos…
 
 
",Romo no tiene bronca con Salinas ni Zedillo,https://www.eluniversal.com.mx/nacion/romo-no-tiene-bronca-con-salinas-ni-zedillo
"
Después de un estudio de calidad, la Procuraduría Federal del Consumidor (Profeco), publicó que distintas marcas de salsa catsup contienen una sustancia altamente dañina para el organismo, convirtiendo su consumo en potencialmente peligroso.

De acuerdo con el análisis realizado por Profeco a importantes marcas de salsa catsup, éstas contienen hasta el 55% de jarabe de maíz de alta fructosa, sustancia catalogada como altamente dañina al provocar que la gente la consuma sin lograr la sensación de saciedad, lo cual promueve el sobrepeso y la obesidad.

Por su parte la norma mexicana NMX-F-346-S-1980, salsa de tomate catsup, establece especificaciones para determinar que el nombre de salsa debe tener por lo menos 12% de sólidos de jitomate, que equivalen a que el producto sea elaborado a partir de 44.4% mínimo del fruto de jitomate; además de no tener espesantes, colorantes ni conservadores.

Sin embargo, se destacó la comercialización de salsas catsup que contiene menor cantidad de jitomate que lo establecido por la norma mexicana, por ello Profeco analizó cuatro marcas de salsa catsup y dos salsas tipo catsup.

También lee: Éstas son las marcas de hamburguesas de res hechas con soya y pellejo

Las marcas de catsup potencialmente dañinas por su concentración de jarabe de maíz de alta fructosa son:

-Embasa: contiene el 55% de adición de jarabe de maíz de alta fructuosa.

-Heinz: contiene el 42% de jarabe de maíz de alta fructosa, además de altos índices de azúcares, pese a que en su etiquetado menciona que no contiene azúcar añadida.

-La Costeña: contiene el 42% de jarabe de maíz de alta fructosa.

-Clemente Jacques: contiene gran cantidad de azúcares, así como el 42%de jarabe de maíz de alta fructosa.

-Del Monte: indica en los ingredientes adición de fructosa y se encontró que adiciona jarabe de maíz de alta fructosa al 42%.

También lee: ¿Cómo te afectaría el uso de lavatrastes con bacterias?

""La ingesta excesiva de jarabe de maíz de alta fructosa produce en gran cantidad la hormona ghrelina, la cual te hace sentir que nunca estás satisfecho y quieres seguir comiendo, provocando el incremento de personas con obesidad y en consecuencia, se desencadenan otras enfermedades como la diabetes mellitus tipo 2"", aseguró la Profeco en su edición de noviembre de la Revista del Consumidor. 

También lee: “Leche” de almendra es menos nutritiva y más cara
",,https://www.elbotiquin.mx/medicina-general/estas-son-las-marcas-de-catsup-que-contienen-ingrediente-danino
"Un hombre de 58 años murió tras derrumbarse durante la carrera anual de 5 kilómetros del resort Walt Disney World, en Orlando, Florida. 
El hombre era Mark Lockridge, originario del condado de Ellis, Texas. De acuerdo con informes del médico forense, se derrumbó frente a los baños de la atracción Imagination with Figment del parque Epcot el viernes pasado. 
Eyrka Washington, una portavoz de Disney World, informó que el hombre apenas había pasado el primer marcador de millas. Los paramédicos lo atendieron y fue llevado al centro médico AdventHealth, donde murió por hipertensión y enfermedad cardíaca. 
“Estamos profundamente tristes por esta pérdida desgarradora, y nuestros pensamientos y simpatías permanecen con la familia y los seres queridos del corredor durante este momento difícil”, dijo la portavoz Andrea Finger, en declaraciones recogidas por el medio Orlando Sentinel. 
Recomendamos  






Sólo para fanáticos: Parque Star Wars en Disney Orlando; costo, atracciones y hotel 


Viaja en el Halcón Milenario, únete a la Resistencia para combatir a Kylo Ren o construye tu propio R2D2 en el parque temático Star Wars: Galaxy's Edge de Disney World en Orlando, Florida 



La carrera de 5 kilómetros de Walt Disney World se realizó el 1 de noviembre, en medio del festival de la comida y el vino que ofrece el resort.
Tuvo un costo de $85 dólares que se destinan a organizaciones benéficas. 
La carrera tiene una extensión de 3.1 millas y cruza todo el parque. A lo largo del recorrido hay entretenimiento con botargas de los personajes de películas más entrañables. Al llegar a la meta, hay música en vivo y espectáculos. La comida que ofrecen depende del festival que se celebre. 
Los ganadores reciben una medalla, certificado y obsequios que siguen la temática del parque de diversiones. 
En su página web, Disney recomienda seguir un entrenamiento de 13 semanas antes de correr los 5 kilómetros para eliminar la fatiga excesiva y el estrés ortopédico. 
Lee 






¿Cuánto cuesta un paquete todo incluido a Disneyland, California?


Puedes armar tu propio paquete con vuelos, entradas a los parques y hospedaje en los hoteles de Disney para viajar antes de que acabe el año 




GRÁFICO, LAS NUEVAS ATRACCIONES DE DISNEY PARA 2020



 
 
",,https://www.viveusa.mx/destinos/muere-hombre-tras-derrumbarse-en-carrera-de-walt-disney-world
"
Aunque un juez federal frenó la ejecución de cualquier orden de aprehensión contra Juan Jesús Javier Lozoya Austin, hermano de Emilio Lozoya, decidió desistir de su petición de amparo.
El hermano del ex director de Petróleos Mexicanos (Pemex) tramitó el amparo desde el 28 de octubre y fue admitido por el Juez Sexto de Distrito de Amparo en materia Penal en la Ciudad de México.
También lee: Vinculan a proceso a mamá de Emilio Lozoya
El juez le concedió la suspensión provisional para evitar su aprehensión y le requirió que para ello exhibiera una garantía de 10 mil pesos.
Sin embargo, este martes el juez Sexto de Distrito notificó que Juan Jesús Javier Lozoya presentó un escrito para desistirse de su petición de amparo, razón por la que le requirió comparecer directamente al juzgado para ratificar su decisión.
Emilo Ricardo Lozoya Austin tiene orden de aprehensión en su contra por lavado de dinero, asociación delictuosa y cohecho por el caso Odebrecht.
Por este mismo caso, su hermana Gilda Susana Lozoya Austin, su mamá Gilda Margarita Austin, su esposa Marielle Helene Eckes y Nelly Maritza Aguilera Concha tienen órdenes de aprehensión por lavado de dinero y asociación delictuosa.
También lee: ""Emilio Lozoya aún no era director de Pemex cuando ocurrieron ""moches"": Coello
Aguilera Concha y la esposa de Lozoya están señaladas en el caso por la utilización de dinero proveniente de los sobornos de Odebrecht para la compraventa de una casa en Ixtapa.
Sin embargo, hasta ahora no se ha señalado en las investigaciones de la Fiscalía General de la República (FGR) a Juan Jesús Javier Lozoya Austin.
cev
",Hermano de Emilio Lozoya desiste de amparo que había tramitado,http://www.eluniversal.com.mx/nacion/politica/hermano-de-emilio-lozoya-desiste-de-amparo-que-habia-tramitado
"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


La Secretaría de la Defensa Nacional (Sedena) informó que el 17 de noviembre se realizará la séptima edición del Medio Maratón “La Gran Fuerza de México” en la Ciudad de México.
A través de sus redes sociales, la Sedena dio a conocer la fecha de la carrera, además de las días y horas de las inscripciones. 
Las inscripciones al medio maratón de la Sedena serán:  

6 de noviembre a las 18:00 horas.
7 de noviembre a las 12:00 horas.
8 de noviembre a las 18:00 horas. 

El medio maratón Sedena 2019 iniciará a las 07:30 horas en el Campo Militar número 1, Ciudad de México, la entrada será por la puerta 8, en la esquina que forman la avenida Ingeniero militares, calle Parque Río Frío y calle Parque La Estrella. 

VER: Medio Maratón Sedena 2019: ¿cuándo es?

Además habrá una caminata recreativa de 5 kilómetros y recorrido en bicicleta de 10 kilómetros. Las personas que quieran participan en el medio maratón de Sedena podrán hacerlo aunque no se inscriban.

VER: Museos CDMX: los recintos de Sedena

Te dejamos la convocatoria del medio maratón Sedena 2019: 
Convocatoria Medio Maratón Sedena 2019 by JuanMiranda on Scribd

",Medio Maratón Sedena 2019: Cuándo son las inscripciones ,http://www.unioncdmx.mx/articulo/2019/11/04/deportes/medio-maraton-sedena-2019-cuando-son-las-inscripciones
"
En la Jornada 4 de la Champions League, tres mexicanos buscan el liderato con sus equipos.
Esta tarde, a las 14:00 horas, Hirving Lozano y el Napoli reciben al Salzburgo, en el estadio San Paolo. Los italianos (siete unidades), en caso de llevarse los tres puntos, permanecerán en la cima del grupo E, sin importar lo que haga el Liverpool (seis) frente al Genk.
(Lozano ha jugado los tres partidos de esta Champions)
A la misma hora, pero en Londres, el Chelsea y el Ajax, de Edson Álvarez, chocan por la punta del sector H, que lideran los ingleses, por el enfrentamiento directo.
(El examericanista sufrió un duro golpe en el rostro durante el fin de semana)
En el duelo en Ámsterdam, los Blues vencieron a los holandeses por la mínima. Hoy buscan revancha.
Mientras que mañana, Héctor Herrera espera tener minutos con el Atlérico de Madrid, que visita al Bayer Leverkusen.
(HH ha batallado para encontrar regularidad con los colchoneros)

 
",La agenda de los mexicanos en la Champions League,http://www.eluniversal.com.mx/universal-deportes/futbol/la-agenda-de-los-mexicanos-en-la-champions-league
"
Un hombre de Utah dijo este martes que las tres mujeres asesinadas de la familia LeBarón por miembros de un cártel en el norte de México eran su tía y dos primas, y que iban con niños en tres vehículos sobre un camino de terracería que utilizaban con frecuencia sin contratiempos.
Taylor Langford dijo en entrevista el martes que quienes le contaron lo sucedido fueron su padre y su tío, quienes según Langford, fueron al lugar de la masacre y hablaron con autoridades mexicanas. En el lugar también fueron asesinados seis niños.
Langford dijo que primero balearon hasta que quedó envuelto en llamas el vehículo conducido por Rhonita Miller, que estaba a unos 16 kilómetros atrás de otras dos camionetas. Miller y sus cuatro hijos, entre ellos bebés gemelos, murieron quemados.
Agregó que después atacaron a los otros dos vehículos. Christina Langford iba con su bebé en uno de ellos y en el auto que Dawna Langford conducía iban nueve niños.
También lee: Familia LeBarón: Trasladan a 5 menores heridos a EU informa Landau
Langford agregó que sobrevivió una niña de 9 años que recibió un tiro en el brazo y fue encontrada horas después.
Miller se dirigía a Phoenix para recoger a su esposo en el aeropuerto, dijo Langford, y las otras dos mujeres iban a visitar a parientes que viven en México, agregó.

Donald Trump ofrece ayua a México contra cárteles
El presidente Donald Trump le está ofreciendo al gobierno de México ayuda no especificada para ""librar la guerra"" contra los cárteles del narcotráfico después de que una familia de una rama escindida de la Iglesia de Jesucristo de los Santos de los Últimos Días fuera masacrada en el norte de México.
""Este es el momento para que México, con la ayuda de Estados Unidos, emprenda una GUERRA contra los cárteles de la droga y los elimine de la faz de la Tierra. ¡Sólo esperamos una llamada de su nuevo gran presidente!"", agregó Trump en una serie de tuits.
Agregó que el presidente mexicano Andrés Manuel López Obrador ha hecho de la lucha contra los cárteles de la droga un asunto prioritario.
""Pero los cárteles se han vuelto tan grandes y poderosos que a veces se necesita un ejército para derrotar a un ejército!"", agregó.
También lee: Mormon family ambushed and massacred in Mexico
López Obrador ha favorecido un enfoque menos militarizado del problema, alegando que una política de confrontación frontal como la de sus predecesores sólo condujo a más violencia.


Escalofriante ataque contra ciudadanos estadounidenses

La principal autoridad de seguridad de México informó el martes que al menos tres mujeres y seis niños fueron asesinados por los miembros de un cártel y que un menor más está desparecido. Los familiares dicen que las víctimas eran ciudadanos estadounidenses.
El secretario de Seguridad, Alfonso Durazo, informó que los agresores pudieron haber confundido la camioneta de las víctimas con la de un cártel rival. Seis niños resultaron heridos en el ataque y cinco fueron llevados a hospitales en Phoenix, Arizona, agregó.
Durazo dijo que el cártel de Sinaloa tiene presencia importante en la zona, pero está en lucha territorial con los rivales.
El escalofriante ataque fue contra ciudadanos estadounidenses que viven en una comunidad fundada como parte de una filial de La Iglesia de Jesucristo de los Santos de los Últimos Días.
La policía y soldados del ejército buscan al niño desaparecido.
",LeBarón. Víctimas iban en camino de terracería,http://www.eluniversal.com.mx/estados/lebaron-victimas-iban-en-camino-de-terraceria
